title,pictureURLLarge,converted_price,brand,profit,ROI
benchmade mini griptilian 555s black grn handle 154cm steel knife used (d86),https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/iR4AAOSwJ~tjvO9Y/$_1.JPG,79.99,benchmade,21.59129999999999,44.981874999999974
benchmade 556 mini griptillian combo blade s30v green,https://i.ebayimg.com/00/s/MTA2NlgxNjAw/z/kTcAAOSwP2BjRldb/$_1.JPG,55.0,benchmade,-0.14999999999999858,-0.312499999999997
benchmade 551sbk 440c griptilian with wilkins grips,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/zFcAAOSwLCdgTawm/$_1.JPG,295.0,benchmade,208.65,434.6875
"benchmade 480-1 shoki nak-loc gentleman's folder cf (discontinued!) 2.89"" m390",https://i.ebayimg.com/00/s/MTYwMFgxNTM1/z/SukAAOSwO9hjvceC/$_1.JPG,299.0,benchmade,212.13,441.9375
benchmade barrage 583sbk knife tanto serrated edge/coated finish axis assist,https://i.ebayimg.com/00/s/MjczWDEwODA=/z/Mh8AAOSwcdljuigv/$_1.JPG,140.0,benchmade,73.8,153.75
benchmade mini griptilian 556-s30v 2.91 inch drop point knife,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/YXQAAOSw8kFjvee4/$_1.JPG,90.0,benchmade,30.3,63.125
benchmade emerson spec war cqc7 frame liner lock folder very rare discontinued,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/HgkAAOSwLFljSyx2/$_1.JPG,470.0,benchmade,360.9,751.875
benchmade,https://i.ebayimg.com/00/s/NzI1WDE1MTk=/z/pYoAAOSw4yhjVbOW/$_1.JPG,250.0,benchmade,169.5,353.125
benchmade sequel 707 mchenry & williams  folding knife,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/G4sAAOSwYkJjp9mZ/$_1.JPG,170.0,benchmade,99.9,208.12500000000003
benchmade 530 pardue axis folding knife rare discontinued,https://i.ebayimg.com/00/s/OTAxWDE1OTk=/z/l7UAAOSwYdxjYk-z/$_1.JPG,330.0,benchmade,239.1,498.125
"7” black benchmade folding pocket knife, model 555",https://i.ebayimg.com/00/s/NjE1WDE2MDA=/z/XOwAAOSwMy1jteq7/$_1.JPG,92.99,benchmade,32.90129999999999,68.54437499999997
doug ritter m390 blade,https://i.ebayimg.com/00/s/MTEzOVg5MzE=/z/NqMAAOSwty9hNMrs/$_1.JPG,665.0,benchmade,530.55,1105.3125
"vintage benchmade 806sd2 afck axis 3.94"" d2 black g10 large folding knife nos",https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/fB4AAOSwmR5jsNwK/$_1.JPG,395.0,benchmade,295.65,615.9375
"benchmade 720 ats-34 combo edge mel pardue aluminum scales, old awesome logo",https://i.ebayimg.com/00/s/MTYwMFgxNjAw/z/gl0AAOSwXjZjU~~X/$_1.JPG,149.0,benchmade,81.63,170.06249999999997
discontinued h and k (benchmade) flak 14141 assisted open folding pocket knife,https://i.ebayimg.com/00/s/MTYwMFgxNjAw/z/tRwAAOSwzuVjrde1/$_1.JPG,185.0,benchmade,112.95,235.3125
benchmade mini barrage 585 (custom),https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/EwoAAOSwIVhjuwxL/$_1.JPG,270.0,benchmade,186.9,389.375
benchmade 707 sequel mchenry & williams discontinued knife w deep carry clip,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/FpwAAOSwR9ZjTcvF/$_1.JPG,280.0,benchmade,195.6,407.5
"benchmade 916sbk-org triage orange g-10 3.4"" black serrated knife",https://i.ebayimg.com/00/s/MTYwMFgxNjAw/z/nyAAAOSwiNNjtpS8/$_1.JPG,125.0,benchmade,60.75,126.5625
benchmade 940 osborne knife green aluminum scales s30v blade,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/kF0AAOSwtWpjuzUE/$_1.JPG,179.0,benchmade,107.73,224.4375
benchmade collectible vintage  model 190,https://i.ebayimg.com/00/s/ODAxWDEzNzM=/z/zjgAAOSwRgpjvJkQ/$_1.JPG,139.99,benchmade,73.7913,153.731875
benchmade 140t nimravus trainer drop point fixed blade knife w/sheath 154cm usa,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/ewMAAOSwUTZjsJdC/$_1.JPG,395.0,benchmade,295.65,615.9375
hk benchmade 14150sbt heckler & koch fixed blade knife h&k snody,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/vM4AAOSwI6FjB-zi/$_1.JPG,249.0,benchmade,168.63,351.3125
benchmade 550s-154cm griptilian partially serrated steel black grn handle (d78),https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/Li0AAOSwG-Jju6le/$_1.JPG,84.99,benchmade,25.9413,54.044375
