Image,url,title,date_sold,price_in_US,shipping_cost,converted_price,profit,ROI,brand,cost,price,shipping,itemID
https://i.ebayimg.com/00/s/MTYwMFgxMTk5/z/zPAAAOSwgw5iue08/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/204014382148?nordt=true&orig_cvip=true&rt=nc,"kershaw clash pocket knife, black serrated (1605cktst)","Aug 30, 2022",22.49,0.0,22.49,7.489999999999998,49.93333333333332,kershaw,15.0,$22.49,$0.00,204014382148
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/b5YAAOSw8NVivgbz/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/204018162264?nordt=true&orig_cvip=true&rt=nc,kershaw chum by kai model 2002 folding knife,"Jul 7, 2022",18.0,5.85,23.85,8.850000000000001,59.00000000000001,kershaw,15.0,$18.00,$5.85,204018162264
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/0IIAAOSwZHRivnha/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/204018529427?nordt=true&orig_cvip=true&rt=nc,kershaw whirlwind knife usa model 1560 swst reshaped,"Jul 9, 2022",33.99,0.0,33.99,18.990000000000002,126.60000000000002,kershaw,15.0,$33.99,$0.00,204018529427
https://i.ebayimg.com/00/s/OTI4WDEzODM=/z/AOkAAOSwBwxiP4K6/$_12.JPG?set_id=880000500F,https://www.ebay.com/itm/204019277606?nordt=true&orig_cvip=true&rt=nc,kershaw 1550 ken onion usa blackout folding pocket knife see details,"Jul 11, 2022",36.0,4.95,40.95,25.950000000000003,173.00000000000003,kershaw,15.0,$36.00,$4.95,204019277606
https://i.ebayimg.com/00/s/MTIwMFgxNTk5/z/t8cAAOSwmqViwL6w/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/204024840061?nordt=true&orig_cvip=true&rt=nc,kershaw usa chive 1600 folding pocket knife (feb 05) - k69,"Jul 9, 2022",25.0,5.25,30.25,15.25,101.66666666666666,kershaw,15.0,$25.00,$5.25,204024840061
https://i.ebayimg.com/00/s/MTIwMFgxNTk5/z/cI0AAOSwCY9iwL73/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/204024840564?nordt=true&orig_cvip=true&rt=nc,kershaw scallion 1620 folding pocket knife - k68,"Jul 9, 2022",24.5,5.25,29.75,14.75,98.33333333333333,kershaw,15.0,$24.50,$5.25,204024840564
https://i.ebayimg.com/00/s/MTIwMFgxNTk5/z/B34AAOSwx5ViwL9Z/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/204024840926?nordt=true&orig_cvip=true&rt=nc,kershaw leek 1660 folding pocket knife - k67,"Jul 9, 2022",24.5,5.25,29.75,14.75,98.33333333333333,kershaw,15.0,$24.50,$5.25,204024840926
https://i.ebayimg.com/00/s/MTIwMFgxNTk5/z/jmUAAOSwAsBipk6H/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/204025573052?nordt=true&orig_cvip=true&rt=nc,kershaw assisted opening gravel 2065 folding pocket knife - k33,"Jul 10, 2022",11.99,5.25,17.240000000000002,2.240000000000002,14.933333333333346,kershaw,15.0,$11.99,$5.25,204025573052
https://i.ebayimg.com/00/s/MTIwMFgxNTk5/z/KY0AAOSwPzViwcH-/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/204025579504?nordt=true&orig_cvip=true&rt=nc,kershaw usa shallot 1840st folding pocket knife - k74,"Jul 10, 2022",79.0,5.25,84.25,69.25,461.66666666666663,kershaw,15.0,$79.00,$5.25,204025579504
https://i.ebayimg.com/00/s/MTIwMFgxNTk5/z/9uUAAOSwUYBiwcUF/$_57.JPG?set_id=8800005007,https://www.ebay.com/itm/204025590623?nordt=true&orig_cvip=true&rt=nc,kershaw usa blur 1670tblkst folding pocket knife - k73,"Jul 10, 2022",34.99,5.25,40.24,25.240000000000002,168.26666666666668,kershaw,15.0,$34.99,$5.25,204025590623
