Image,Field4,price_in_US,shipping_,title,date_sold,shipping_cost
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$200.00,$0.00,Case XX Cheetah Cub Knockout Stag Nice Piece HTF Pocket Knife 511 1/2 NR,"Nov 2, 2021",$8.99
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$80.00,$0.00,CASE XX OLIVE GREEN BONE DOCTORS KNIFE,"Nov 2, 2021",$5.00
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$38.00,$0.00,Case Xx Folding Knife Bird Hook 6247h Amber,"Nov 2, 2021",$0.00
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$75.00,$0.00,Case XX Muskrat Folding Pocket Knife - Free Shipping,"Nov 2, 2021",$0.00
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$41.99,$0.00,Vintage folding 62132 Casexx SS Knife clean Case USA  ,"Nov 2, 2021",$5.10
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$85.00,$0.00,SPECIAL  Case XX Tested 6254 SS Trapper Burnt Green Folding Pocket Knife ,"Nov 2, 2021",$7.50
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$50.00,$0.00,NM VINTAGE CASE XX USA 6383 ORANGE BONE BALLOON WHITTLER KNIFE KNIVES OLD POCKET,"Nov 2, 2021",$9.20
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$57.50,$0.00,"CASE XX RED BONE SERPENTINE JACK KNIFE, 1971 9 DOT","Nov 2, 2021",$5.00
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$15.50,$0.00,Case XX USA #22087 SS Folding Pocket Knife 3 Pin Black Delrin 2 Blades,"Nov 2, 2021",$4.75
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$73.00,$0.00,'05 VINTAGE CASE XX SELECT TONY BOSE TB6339 BONE SOWBELLY STOCKMAN KNIFE KNIVES,"Nov 2, 2021",$2.56
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$71.95,$0.00,'01 VINTAGE CASE XX SELECT TONY BOSE TB6339 WHITE BONE SOWBELLY STOCKMAN KNIFE,"Nov 2, 2021",$2.53
https://i.ebayimg.com/images/g/e1gAAOSwaqFec6un/s-l1200.jpg,"Apr 18, 2021",$40.99,$0.00,VINTAGE'80 CASE XX USA 10DOT 640045 SPORTSMANS BOY SCOUTS CAMP SURVIVAL KNIFE VG,"Nov 2, 2021",$5.25
