Image,url,title,date_sold,price_in_US,shipping_
https://i.ebayimg.com/images/g/GGYAAOSwB3JjoS3K/s-l1200.jpg,https://www.ebay.com/itm/364091812864?nordt=true&orig_cvip=true&rt=nc,CRKT 2490ks Squid Burnley Design Pocket Knife! FAST SHIPPING!,"Jan 3, 2023",$9.99,$6.10
https://i.ebayimg.com/images/g/uHEAAOSwCmxht76p/s-l1200.jpg,https://www.ebay.com/itm/234333807834?nordt=true&orig_cvip=true&rt=nc,Ruger By CRKT R2001K All Cylinders Harsey Design Folding Pocket Knife Plain G10 ,"Jan 3, 2023",$60.00,$0.00
https://i.ebayimg.com/images/g/JbEAAOSwtQpiv8u7/s-l1200.jpg,https://www.ebay.com/itm/295440179208?nordt=true&orig_cvip=true&rt=nc,CRKT 2490KS Squid Burnley Design Pocket Knife,"Jan 2, 2023",$16.99,$0.00
https://i.ebayimg.com/images/g/3bQAAOSw~-piuoEJ/s-l1200.jpg,https://www.ebay.com/itm/295440177471?nordt=true&orig_cvip=true&rt=nc,CRKT Crawford Falcon 6242 Folding Pocket Knife,"Jan 2, 2023",$20.36,$0.00
https://i.ebayimg.com/images/g/Ii4AAOSw389jpmM~/s-l1200.jpg,https://www.ebay.com/itm/404071014608?nordt=true&orig_cvip=true&rt=nc,CRKT Graham Ringed Razel Knife - Unused - Excellent - RARE - Scuffs On Sheath,"Jan 2, 2023",$132.50,$11.90
https://i.ebayimg.com/images/g/rfwAAOSwAfZjrgcH/s-l1200.jpg,https://www.ebay.com/itm/144877701980?nordt=true&orig_cvip=true&rt=nc,CRKT Outrage K320GXP Folding Pocket Knife,"Jan 2, 2023",$19.00,$0.00
https://i.ebayimg.com/images/g/eYAAAOSwm3djrPPV/s-l1200.jpg,https://www.ebay.com/itm/275597233819?nordt=true&orig_cvip=true&rt=nc,COLUMBIA RIVER KNIFE TOOLS CRKT M16-10KSF TANTO LOCKBACK FOLDING SURVIVAL KNIVES,"Jan 2, 2023",$20.50,$5.45
https://i.ebayimg.com/images/g/EpEAAOSwYqRjrPF6/s-l1200.jpg,https://www.ebay.com/itm/314295442318?nordt=true&orig_cvip=true&rt=nc,NM CRKT COLUMBIA RIVER HALLIGAN KISS 5500K LOCKBACK FOLDING KNIFE KNIVES VINTAGE,"Jan 2, 2023",$20.50,$6.10
https://i.ebayimg.com/images/g/7QMAAOSwMnhjrOzS/s-l1200.jpg,https://www.ebay.com/itm/275597211499?nordt=true&orig_cvip=true&rt=nc,COLUMBIA RIVER KNIFE TOOLS CRKT 6280RK SCHWARZ OVERLAND LOCKBACK FOLDING KNIVES,"Jan 2, 2023",$31.00,$6.00
https://i.ebayimg.com/images/g/4sYAAOSwqzdjjOTW/s-l1200.jpg,https://www.ebay.com/itm/195533831075?nordt=true&orig_cvip=true&rt=nc,CRKT Tuna 2520 Burnley Design Folding Framelock Pocket Knife OD Green G10,"Jan 2, 2023",$29.99,$6.00
https://i.ebayimg.com/images/g/Cm8AAOSwPFVjqjvP/s-l1200.jpg,https://www.ebay.com/itm/255897840781?nordt=true&orig_cvip=true&rt=nc,Crkt Knife M16-01kz,"Jan 2, 2023",$8.50,$6.66
https://i.ebayimg.com/images/g/PY0AAOSw-AljqbWX/s-l1200.jpg,https://www.ebay.com/itm/165853114309?nordt=true&orig_cvip=true&rt=nc,Desert Tan Aluminum CRKT M 16-14D Serrated Tanto LinerLock Knife Carson Design,"Jan 2, 2023",$24.50,$5.50
https://i.ebayimg.com/images/g/q6kAAOSwe~RjsICB/s-l1200.jpg,https://www.ebay.com/itm/195540017674?nordt=true&orig_cvip=true&rt=nc,CRKT Williams Heiho Sensei Pocket Knife W/factory box discontinued Collectable,"Jan 2, 2023",$40.15,$5.85
