Image,title,date_sold,avg_price,avg_shipping
https://i.ebayimg.com/00/s/MTQwN1gxMzIy/z/Nf4AAOSw3iRin-Di/$_12.JPG?set_id=880000500F,Case XX U.S.A. Pocket Knife,"Jun 13, 2022",$31.00,$4.50
https://i.ebayimg.com/00/s/Njc2WDE1NDI=/z/7ZoAAOSwYLtin-LM/$_12.JPG?set_id=880000500F,Case XX U.S.A. Pocket Knife,"Jun 13, 2022",$42.00,$4.50
https://i.ebayimg.com/00/s/MTYwMFgxNjAw/z/4VkAAOSwRadiVye9/$_12.JPG?set_id=880000500F,Casexx 10254SS Patriotic Trapper Folding Pocket Knife ,"Jun 16, 2022",$35.00,$5.95
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/5-QAAOSwGbxip2Tv/$_12.JPG?set_id=880000500F,Case XX 52009 1/2 SSP Stag Barlow Knife,"Jun 15, 2022",$135.00,$2.57
https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/no4AAOSwqw1ip2Cp/$_12.JPG?set_id=880000500F,Case XX 1984 52009 RSSP One Arm Stag Razor Barlow Knife,"Jun 15, 2022",$150.00,$2.86
https://i.ebayimg.com/00/s/OTQ3WDEyNjI=/z/V1kAAOSwweNirNUm/$_57.JPG?set_id=8800005007,Case XX 52131 D Damascus Steel Canoe Folding Knife,"Jun 24, 2022",$121.73,$8.50
https://i.ebayimg.com/00/s/OTQ3WDEyNjI=/z/59cAAOSwvrRisNHt/$_57.JPG?set_id=8800005007,Case XX SC 62131 Bone Handle Canoe Folding Knife,"Jun 27, 2022",$49.99,$8.00
https://i.ebayimg.com/00/s/OTQ3WDEyNjM=/z/p~sAAOSwXVNisfUC/$_57.JPG?set_id=8800005007,Case XX A62131 Canoe Folding Knife Bone Handle,"Jun 30, 2022",$49.99,$4.50
https://i.ebayimg.com/00/s/OTQ3WDEyNjM=/z/RdMAAOSw4IxisfXr/$_57.JPG?set_id=8800005007,Case XX DR62131 Canoe Folding Knife Bone Handle,"Jun 30, 2022",$49.99,$4.50
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/txYAAOSwmEZiqTzn/$_12.JPG?set_id=880000500F,1991 Casexx Shriner trapper knife,"Jul 2, 2022",$45.00,$5.10
https://i.ebayimg.com/00/s/MTYwMFgxMzc4/z/lq0AAOSwo9Fiup~K/$_12.JPG?set_id=880000500F,VINTAGE CASE XX USA 1965-1969 STACKED LEATHER FIXED BLADE KNIFE,"Jul 8, 2022",$79.22,$0.00
https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/sncAAOSwbu9iuQvd/$_12.JPG?set_id=880000500F,"Case XX 6220 , Two Blades Folding Pocket Knife","Jul 5, 2022",$27.33,$6.00
