Image,Field4,price_in_US,shipping_,Image1,title,date_sold,shipping_cost
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$28.97,$3.49,https://i.ebayimg.com/images/g/djwAAOSwnf1hDT1H/s-l1200.jpg,Kershaw KAI 1620 Ken Onion Design USA Folding Pocket Knife Plain Edge Liner Lock,"Sep 6, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$79.95,$3.49,https://i.ebayimg.com/images/g/h74AAOSw4z1hMips/s-l1200.jpg,"KERSHAW 1560 Ken Onion Whirlwind Assisted Open Folding Knife 4 1/4""","Sep 7, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$26.40,$3.49,https://i.ebayimg.com/images/g/j7YAAOSw9FthHWzI/s-l1200.jpg,Kershaw 1660CKTST Leek Onion Design Folding Pocket Knife Combo Edge Frame Lock,"Sep 21, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$10.99,$3.49,https://i.ebayimg.com/images/g/fIIAAOSwpiBhAc8Q/s-l1200.jpg,Kershaw Shuffle 8700 Folding Pocket Knife w/ Linerlock and Bottle Opener,"Sep 21, 2021",$4.50
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$99.95,$3.49,https://i.ebayimg.com/images/g/1hcAAOSwzsZg8IY3/s-l1200.jpg,2006 Kershaw USA Spec Bump 1595 Gray/Black Ken Onion Folding Pocket Knife,"Sep 22, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$18.04,$3.49,https://i.ebayimg.com/images/g/hQ8AAOSwf-xhBA05/s-l1200.jpg,Kershaw Speedsafe 1835TBLKST Kuro Folding Pocket Knife Assisted Combo Liner Blk,"Sep 22, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$43.95,$3.49,https://i.ebayimg.com/images/g/VWYAAOSw1kxg3h8S/s-l1200.jpg,Vtg Kershaw 5300 Seki Japan Gentleman Scroll Pearl Folding Lockback Pocket Knife,"Sep 24, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$29.79,$3.49,https://i.ebayimg.com/images/g/KVcAAOSwmdtd2DWj/s-l1200.jpg,Kershaw Knives (Various Models),"Sep 27, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$21.95,$3.49,https://i.ebayimg.com/images/g/zBkAAOSwP8NgwkJD/s-l1200.jpg,,"Sep 28, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$26.95,$3.49,https://i.ebayimg.com/images/g/1R0AAOSwXLthUh85/s-l1200.jpg,Kershaw Kai 1650ST Vapor II Stainless Folding Framelock Pocket Knife,"Sep 28, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$44.95,$3.49,https://i.ebayimg.com/images/g/ypgAAOSwpmJgo6g3/s-l1200.jpg,"Kershaw 1600 Chive, Speedsafe knife, Compact folder","Sep 29, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$18.95,$3.49,https://i.ebayimg.com/images/g/ShcAAOSwLFxgv~8h/s-l1200.jpg,Kershaw 1731T Groove SpeedSafe Pocket Knife Black Plain Edge - Great 388,"Oct 1, 2021",$0.00
https://i.ebayimg.com/images/g/-BIAAOSwSYVf8ygV/s-l1200.jpg,"Jan 11, 2021",$15.33,$3.49,https://i.ebayimg.com/images/g/4FsAAOSwd8NhTJ-F/s-l1200.jpg,Kershaw 1730SS RJ Martin Design Folding Pocket Knife Plain Frame Lock Stainless,"Oct 2, 2021",$0.00
